85159500103KR	85159500000KR
85041500102KR	85041500000KR
82000914102KR	82000914101KR
42801675102KR	42801675101KR
34502472103KR	34502472101KR
34502467102KR	34502467101KR
34501963102KR	34501963101KR
34500305102KR	34500305101KR
34106599103KR	34106599101KR
34105894103KR	34105894101KR
34104856103KR	34104856101KR
34102762102KR	34102762101KR
34101372102KR	34101372101KR
34101234102KR	34101234101KR
31800545102KR	31800545101KR
31800543102KR	31800543101KR
10205579101KR	10205579000KR
10121420202KR	10121420201KR
10121382102KR	10121382101KR
10119647103KR	10119647101KR
10119458302KR	10119458301KR
10119432302KR	10119432301KR
10119429302KR	10119429301KR
10119418202KR	10119418201KR
10119166302KR	10119166301KR
10118538102KR	10118538101KR
10118266102KR	10118266101KR
10118050102KR	10118050101KR
10117731203KR	10117731201KR
10117730203KR	10117730201KR
10116956102KR	10116956101KR
10116250203KR	10116250201KR
10116245102KR	10116245101KR
10116243102KR	10116243101KR
10116003202KR	10116003201KR
10111673104KR	10111673101KR
10111536403KR	10111536401KR
